"ew_start","sum_of_cases"
2017-12-31,1469
2018-01-07,1125
2018-01-14,1584
2018-01-21,1508
2018-01-28,1293
2018-02-04,1231
2018-02-11,1415
2018-02-18,1449
2018-02-25,1575
2018-03-04,1840
2018-03-11,1874
2018-03-18,1985
2018-03-25,2116
2018-04-01,2672
2018-04-04,3299
2018-04-15,2822
2018-04-22,2200
2018-04-29,2213
2018-05-06,2088
2018-05-13,1803
2018-05-20,1228
2018-05-27,906
2018-06-03,920
2018-06-10,916
2018-06-17,692
2018-06-24,609
2018-07-01,593
2018-07-08,460
2018-07-15,397
2018-07-22,341
2018-07-29,363
2018-08-05,436
2018-08-12,304
2018-08-19,339
2018-08-26,325
2018-09-02,304
2018-09-09,352
2018-09-16,436
2018-09-23,476
2018-09-30,456
2018-10-07,501
2018-10-14,577
2018-10-21,577
2018-10-28,569
2018-11-04,685
2018-11-11,707
2018-11-18,903
2018-11-25,1057
2018-12-02,1227
2018-12-09,1644
2018-12-16,1604
2018-12-23,1720
2018-12-30,2746
2019-01-06,4080
2019-01-13,4833
2019-01-20,6744
2019-01-27,8172
2019-02-03,9311
2019-02-10,11391
2019-02-17,12812
2019-02-24,13427
2019-03-03,15375
2019-03-10,20728
2019-03-17,26262
2019-03-24,30807
2019-03-31,35757
2019-04-07,38607
2019-04-14,40505
2019-04-21,49944
2019-04-28,50468
2019-05-05,50199
2019-05-12,43223
2019-05-19,35875
2019-05-26,27739
2019-06-02,19332
2019-06-09,12737
2019-06-16,8038
2019-06-23,6366
2019-06-30,4486
2019-07-07,2548
2019-07-14,1738
2019-07-21,1361
2019-07-28,1121
2019-08-04,930
2019-08-11,896
2019-08-18,915
2019-08-25,800
2019-09-01,940
2019-09-08,1046
2019-09-15,928
2019-09-22,782
2019-09-29,829
2019-10-06,780
2019-10-13,922
2019-10-20,729
2019-10-27,720
2019-11-03,854
2019-11-10,741
2019-11-17,874
2019-11-24,880
2019-12-01,1048
2019-12-08,1158
2019-12-15,1396
2019-12-22,771
2019-12-29,1196
2020-01-05,2554
2020-01-12,3234
2020-01-19,3616
2020-01-26,4147
2020-02-02,4957
2020-02-09,5619
2020-02-16,5874
2020-02-23,6127
2020-03-01,7662
2020-03-08,8430
2020-03-15,6034
2020-03-22,5069
2020-03-29,5697
2020-04-05,6266
2020-04-12,6660
2020-04-19,6508
2020-04-26,5618
2020-05-03,4992
2020-05-10,4626
2020-05-17,3793
2020-05-24,2836
2020-05-31,2868
2020-06-07,2519
2020-06-14,2344
2020-06-21,1958
2020-06-28,1948
2020-07-05,1698
2020-07-12,1408
2020-07-19,1272
2020-07-26,1054
2020-08-02,882
2020-08-09,1058
2020-08-16,873
2020-08-23,796
2020-08-30,815
2020-09-06,885
2020-09-13,816
2020-09-20,791
2020-09-27,804
2020-10-04,789
2020-10-11,740
2020-10-18,652
2020-10-25,602
2020-11-01,780
2020-11-08,908
2020-11-15,1073
2020-11-22,1119
2020-11-29,1228
2020-12-06,1137
2020-12-13,1065
2020-12-20,802
2020-12-27,763
2021-01-03,1346
2021-01-10,1433
2021-01-17,1521
2021-01-24,1382
2021-01-31,1553
2021-02-07,1483
2021-02-14,1732
2021-02-21,1946
2021-02-28,2310
2021-03-07,2354
2021-03-14,2476
2021-03-21,2066
2021-03-28,1774
2021-04-04,1936
2021-04-11,1587
2021-04-18,1509
2021-04-25,1497
2021-05-02,1374
2021-05-09,1425
2021-05-16,1216
2021-05-23,1131
2021-05-30,1049
2021-06-06,955
2021-06-13,753
2021-06-20,623
2021-06-27,492
2021-07-04,454
2021-07-11,492
2021-07-18,390
2021-07-25,321
2021-08-01,325
2021-08-08,453
2021-08-15,405
2021-08-22,392
2021-08-29,305
2021-09-05,441
2021-09-12,471
2021-09-19,462
2021-09-26,426
2021-10-03,379
2021-10-10,382
2021-10-17,391
2021-10-24,442
2021-10-31,544
2021-11-07,485
2021-11-14,552
2021-11-21,647
2021-11-28,668
2021-12-05,630
2021-12-12,548
2021-12-19,389
2021-12-26,407
2022-01-02,1597
2022-01-09,1895
2022-01-16,1965
2022-01-23,1720
2022-01-30,1779
2022-02-06,1920
2022-02-13,2053
2022-02-20,2241
2022-02-27,3087
2022-03-06,3804
2022-03-13,5106
2022-03-20,6904
2022-03-27,8306
2022-04-03,9000
2022-04-10,9967
2022-04-17,10904
2022-04-24,11504
2022-05-01,12137
2022-05-08,10763
2022-05-15,7883
2022-05-22,6201
2022-05-29,6028
2022-06-05,4915
2022-06-12,3649
2022-06-19,3417
2022-06-26,2629
2022-07-03,2079
2022-07-10,1880
2022-07-17,1576
2022-07-24,1488
2022-07-31,1382
2022-08-07,1152
2022-08-14,1097
2022-08-21,1041
2022-08-28,963
2022-09-04,1123
2022-09-11,1189
2022-09-18,1247
2022-09-25,1204
2022-10-02,1256
2022-10-09,1269
2022-10-16,1412
2022-10-23,1249
2022-10-30,1297
2022-11-06,1476
2022-11-13,1698
2022-11-20,1761
2022-11-27,1850
2022-12-04,2081
2022-12-11,2363
2022-12-18,2331
2022-12-25,3133
2023-01-01,5140
2023-01-08,6325
2023-01-15,8409
2023-01-22,10342
2023-01-29,14306
2023-02-05,18014
2023-02-12,18930
2023-02-19,22819
2023-02-26,28173
2023-03-05,32380
2023-03-12,35595
2023-03-19,41031
2023-03-26,42796
2023-04-02,39039
2023-04-09,46677
2023-04-16,41017
2023-04-23,36014
2023-04-30,37660
2023-05-07,34528
2023-05-14,27676
2023-05-21,19598
2023-05-28,15277
2023-06-04,10890
2023-06-11,9346
2023-06-18,6897
2023-06-25,5025
2023-07-02,3713
2023-07-09,3221
2023-07-16,2709
2023-07-23,2260
2023-07-30,2187
2023-08-06,2096
2023-08-13,1969
2023-08-20,1924
2023-08-27,1760
2023-09-03,1580
2023-09-10,2041
2023-09-17,2231
2023-09-24,2115
2023-10-01,2541
2023-10-08,2433
2023-10-15,2969
2023-10-22,3020
2023-10-29,2932
2023-11-05,4440
2023-11-12,4236
2023-11-19,5789
2023-11-26,6333
2023-12-03,6563
2023-12-10,7130
2023-12-17,5186
2023-12-24,6121
2023-12-31,21599
2024-01-07,27950
2024-01-14,41104
2024-01-21,55117
2024-01-28,57946
2024-02-04,32100
2024-02-11,6405
